Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/holuwatimzy144K/status/1641632552371855362,,https://twitter.com/holuwatimzy144K,1680230675000,2023-03-31 2:44:35,,null,3,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Blizzystarboy/status/1641639725235683328,,https://twitter.com/Blizzystarboy,1680232385000,2023-03-31 3:13:5,Bro you fell off .,null,2,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/hunclejay_/status/1641640167386562562,,https://twitter.com/hunclejay_,1680232490000,2023-03-31 3:14:50,"OBO to the world 

Wizkid fc just de vex because our 001 no sing “she tell me say” 
Make una no vex she no tell OBO anything",null,,,2,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/josh_wrld_/status/1641647018157252609,,https://twitter.com/josh_wrld_,1680234124000,2023-03-31 3:42:4,"@BigKlyn
 this is real music",null,3,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/DoroAustyn/status/1641647565237002240,,https://twitter.com/DoroAustyn,1680234254000,2023-03-31 3:44:14,Love you OBO,null,2,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/onlytrueisaac/status/1641648392529911811,,https://twitter.com/onlytrueisaac,1680234451000,2023-03-31 3:47:31,"way to go, davido",null,,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Mayor_Ideato/status/1641658168009785344,,https://twitter.com/Mayor_Ideato,1680236782000,2023-03-31 4:26:22,"@GetVideoBot
",null,4,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/iamsamzion/status/1641659326619164672,,https://twitter.com/iamsamzion,1680237058000,2023-03-31 4:30:58,"Congratulations 
@davido
",null,3,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/NBE_fatboi/status/1641662067265421314,,https://twitter.com/NBE_fatboi,1680237712000,2023-03-31 4:41:52,"Kings don't Bend
Kings don't Fold
Thank you king 
@davido
 for Coming back to my Life ",https://pbs.twimg.com/media/Fsha8fKWIAEDA9j?format=jpg&name=900x900,4,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/bankeyys/status/1641665650786443264,,https://twitter.com/bankeyys,1680238566000,2023-03-31 4:56:6,This album is on Fire  ; That feeling that feels like champions league final is been played every day: I get to listen to this album  with Tears in my eyes’ I wish I can send you money right now ,null,1,,,No,,,,
