,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Sentiment
1534,https://twitter.com/Frankalein/status/1296838315895853058,https://twitter.com/Frankalein,2020-08-21 15:55:23,love much congratulations release day,0,0,0,The Killers,[],Frankalein,Positive
1535,https://twitter.com/MarieCeltic/status/1296844805268537345,https://twitter.com/MarieCeltic,2020-08-21 16:21:10,completely stunning proud star constellations new mosw video makes think beauty dylans poem death shall dominion man wind west moon shall stars elbow foot,0,0,0,The Killers,[],MarieCeltic,Positive
1536,https://twitter.com/javimarquezzz/status/1296849010112618497,https://twitter.com/javimarquezzz,2020-08-21 16:37:52,probably best album since sams town honest better sams town,0,0,0,The Killers,[],javimarquezzz,Positive
1537,https://twitter.com/debrabrown_/status/1296853240911454209,https://twitter.com/debrabrown_,2020-08-21 16:54:41,first listen,0,0,0,The Killers,[],debrabrown_,Neutral
1538,https://twitter.com/champagnesooper/status/1296853815426195461,https://twitter.com/champagnesooper,2020-08-21 16:56:58,mine arrived today friday night spent blasting sinking would load chocolate wine,0,0,0,The Killers,[],champagnesooper,Neutral
1539,https://twitter.com/TimLohr77/status/1296854489803239424,https://twitter.com/TimLohr77,2020-08-21 16:59:39,guys discovered synth wave new retro wave scene around like years way cash,0,0,5,The Killers,[],TimLohr77,Positive
1540,https://twitter.com/blacey73/status/1296855478530715649,https://twitter.com/blacey73,2020-08-21 17:3:35,amazing album,0,0,1,The Killers,[],blacey73,Positive
1541,https://twitter.com/Ginaaar7/status/1296865368624050182,https://twitter.com/Ginaaar7,2020-08-21 17:42:53,cinematicvision favourite part,0,0,1,The Killers,[],Ginaaar7,Neutral
1542,https://twitter.com/nelebriquelme/status/1296867104944279558,https://twitter.com/nelebriquelme,2020-08-21 17:49:47,sanieayal,0,0,1,The Killers,[],nelebriquelme,Neutral
1543,https://twitter.com/DoctorAguilas/status/1296869699045793795,https://twitter.com/DoctorAguilas,2020-08-21 18:0:5,huge thekillers fan say implodingthemirage weakest album band date guess spoiled like said huge fan give mulligan one,0,0,0,The Killers,['#implodingthemirage'],DoctorAguilas,Positive
1544,https://twitter.com/_Juilz_/status/1296872237241335809,https://twitter.com/_Juilz_,2020-08-21 18:10:10,bewitched body soul breathed much needed air lungs masterfully arranged lightning fields reminds duran duran may god bless contributions weary souls seriously,0,0,1,The Killers,[],_Juilz_,Positive
1545,https://twitter.com/TheEhren/status/1296893816750968832,https://twitter.com/TheEhren,2020-08-21 19:35:55,reviewing podcast tonight,0,0,0,The Killers,[],TheEhren,Neutral
1546,https://twitter.com/CailinONeil/status/1296901983429971968,https://twitter.com/CailinONeil,2020-08-21 20:8:22,itsagifnotagif,0,0,1,The Killers,[],CailinONeil,Neutral
1547,https://twitter.com/iloveblink182/status/1296908646471929857,https://twitter.com/iloveblink182,2020-08-21 20:34:51,picked copy morning rlnstonesmusic anyone chicago suburbs looking copy hit album solid front back current favorites blowback god souls warning,0,0,1,The Killers,[],iloveblink182,Positive
1548,https://twitter.com/SeanycahillSPRT/status/1296912298339172352,https://twitter.com/SeanycahillSPRT,2020-08-21 20:49:22,comes old stuff better herd,0,0,0,The Killers,[],SeanycahillSPRT,Positive
1549,https://twitter.com/anthonyconnery/status/1296913022884237312,https://twitter.com/anthonyconnery,2020-08-21 20:52:14,hennessyandrew,0,0,1,The Killers,[],anthonyconnery,Neutral
1550,https://twitter.com/breathecarold/status/1296829116868591616,https://twitter.com/breathecarold,2020-08-21 15:18:50,obrigada,0,0,0,The Killers,[],breathecarold,Neutral
1551,https://twitter.com/onlytonightt/status/1296829235353575426,https://twitter.com/onlytonightt,2020-08-21 15:19:18,loved last time came brazil promised us would take long return wait concert maybe lollapalooza,0,0,0,The Killers,[],onlytonightt,Positive
1552,https://twitter.com/KarastKaith/status/1296829597179416576,https://twitter.com/KarastKaith,2020-08-21 15:20:44,,0,0,0,The Killers,[],KarastKaith,Neutral
1553,https://twitter.com/brandivaflowers/status/1296830524653105154,https://twitter.com/brandivaflowers,2020-08-21 15:24:25,gracias por existir darme ganas de vivir,0,0,0,The Killers,[],brandivaflowers,Neutral
1554,https://twitter.com/GweenPepper/status/1296831337681256448,https://twitter.com/GweenPepper,2020-08-21 15:27:39,new favorite album right next battle born,0,0,0,The Killers,[],GweenPepper,Positive
1555,https://twitter.com/worldmarooner/status/1296831838552576000,https://twitter.com/worldmarooner,2020-08-21 15:29:38,really love omfg perfect thanks,0,0,0,The Killers,[],worldmarooner,Positive
1556,https://twitter.com/ivandercs/status/1296835432286547970,https://twitter.com/ivandercs,2020-08-21 15:43:55,mediocrickey,0,0,1,The Killers,[],ivandercs,Neutral
1557,https://twitter.com/itsjulialeblanc/status/1296836498038415364,https://twitter.com/itsjulialeblanc,2020-08-21 15:48:9,joocecm,0,0,1,The Killers,[],itsjulialeblanc,Neutral
1558,https://twitter.com/LSal92/status/1296852682817146880,https://twitter.com/LSal92,2020-08-21 16:52:28,realy great album proud love guys,0,0,0,The Killers,[],LSal92,Positive
1559,https://twitter.com/DCoxy75/status/1296860103635861504,https://twitter.com/DCoxy75,2020-08-21 17:21:57,really like new album slight disappointment blowback recorded synths like version stripped back piano playing melody,0,0,0,The Killers,[],DCoxy75,Positive
